Id;Name;JapName;Shirt;ShirtNational;Country;Height;Weight;Age
1718;Á. Recoba;アルバロ レコバ;RECOBA;RECOBA;152;179;79;28
1732;W. Samuel;ワルテル サムエル;SAMUEL;SAMUEL;144;183;83;35
1733;R. Ayala;サンティアゴ パディアル;AYALA;AYALA;144;177;75;35
1735;D. Simeone;アベラルド パイッサ;SIMEONE;SIMEONE;144;180;77;27
1737;J. Zanetti;ハビエル サネッティ;J. ZANETTI;J. ZANETTI;144;178;75;40
1741;G. Batistuta;ガブリエル バティストゥータ;BATISTUTA;BATISTUTA;144;185;73;33
1745;M. Almeyda;オスカル バルカルセ;ALMEYDA;ALMEYDA;144;174;72;29
1754;H. Nakata;中田 英寿;NAKATA;NAKATA;13;175;72;27
1881;Irwin;アーウィン;IRWIN;IRWIN;214;173;73;36
1882;D. Yorke;ドワイト ヨーク;YORKE;YORKE;133;175;78;31
1892;D. Bergkamp;デニス ベルカンプ;BERGKAMP;BERGKAMP;224;188;79;35
1894;A. Cole;アシュリー コール;COLE;COLE;204;176;66;42
1948;F. Lampard;フランク ランパード;LAMPARD;LAMPARD;204;184;88;29
1951;S. Given;シェイ ギヴン;GIVEN;GIVEN;214;185;84;36
1957;A. Shearer;ホレーショー ブリジャー;SHEARER;SHEARER;204;183;79;29
2040;G. Weah;イズラエル コブ;WEAH;WEAH;69;185;82;32
2089;R. van der Vaart;ラファエル ファン デル ファールト;VAN DER VAART;VAN DER VAART;224;176;78;30
2128;R. Van Nistelrooy;ピーテル ヤン ブール;VAN NISTELROOY;VAN NISTELROOY;224;188;80;33
2131;L. Blanc;ジャマル ドルリュー;BLANC;BLANC;208;190;82;34
2137;Ronaldo;バルトロメウ シャヴェス;RONALDO;RONALDO;146;183;75;23
2138;A. Pirlo;アンドレア ピルロ;PIRLO;PIRLO;215;177;68;35
2150;C. Abbiati;クリスティアン アッビアーティ;ABBIATI;ABBIATI;215;191;92;37
2155;F. Redondo;マノロ プエルト;REDONDO;REDONDO;144;186;75;28
2159;Z. Boban;ロク ストゥパル;BOBAN;BOBAN;200;183;79;29
2232;Élber;エウベル;ELBER;ELBER;146;182;79;33
2326;C. Taffarel;ニコラオ ドミンゲス;TAFFAREL;TAFFAREL;146;180;74;31
2329;S. Campbell;ソル キャンベル;CAMPBELL;CAMPBELL;204;188;93;33
2331;L. Matthäus;ローター マテウス;MATTHAUS;MATTHAUS;210;173;72;32
2334;Dunga;クリストヴァオ メンドーサ;DUNGA;DUNGA;146;178;74;30
2339;C. Valderrama;ヒルベルト リドン;VALDERRAMA;VALDERRAMA;148;175;70;29
2340;Rái;ライー;RAI;RAI;146;188;89;31
2344;R. Baggio;ウンベルト モンテレオーネ;BAGGIO;BAGGIO;215;174;73;28
2380;F. Rijkaard;フランク ライカールト;RIJKAARD;RIJKAARD;224;190;80;29
2387;M. van Basten;マルコ ファン バステン;VAN BASTEN;VAN BASTEN;224;188;80;27
2388;R. Gullit;ルート フリット;GULLIT;GULLIT;224;190;85;29
2397;J. Cruijff;ヨハン クライフ;CRUYFF;CRUYFF;224;180;74;30
2404;F. Beckenbauer;フランツ ベッケンバウアー;BECKENBAUER;BECKENBAUER;210;181;77;32
2405;K. Rummenigge;カール ハインツ ルンメニゲ;RUMMENIGGE;RUMMENIGGE;210;182;79;29
2430;Zico;ジーコ;ZICO;ZICO;146;172;69;32
2453;D. Maradona;ディエゴ マラドーナ;MARADONA;MARADONA;144;164;70;30
2489;E. Kawashima;川島 永嗣;KAWASHIMA;KAWASHIMA;13;185;82;40
2506;Pepe Reina;ペペ レイナ;REINA;REINA;236;188;92;41
2808;F. Baresi;フランコ バレージ;BARESI;BARESI;215;176;70;32
2810;G. Bergomi;ジュゼッペ ベルゴミ;BERGOMI;BERGOMI;215;184;74;28
2827;B. Robson;ブライアン ロブソン;ROBSON;ROBSON;204;175;79;28
2841;D. Law;デニス ロー;LAW;LAW;232;175;71;27
3200;C. Kameni;イドリス カルロス カメニ;KAMENI;KAMENI;50;186;86;39
3239;Bebeto;ベベト;BEBETO;BEBETO;146;173;68;33
3305;M. Hasebe;シャビィ ペドレル;HASEBE;HASEBE;13;180;72;39
3316;M. Okamoto;岡本 昌弘;OKAMOTO;OKAMOTO;13;184;79;40
3497;D. Forlán;ディエゴ フォルラン;FORLAN;FORLAN;152;180;75;32
3582;R. van Persie;ロビン ファン ペルシ;V. PERSIE;V. PERSIE;224;183;71;39
3603;D. De Rossi;ダニエレ デ ロッシ;DE ROSSI;DE ROSSI;215;184;83;39
3681;E. Cambiasso;エステバン カンビアッソ;CAMBIASSO;CAMBIASSO;144;177;78;33
3757;Gilberto Silva;ジウベルト シウバ;GILBERTO;GILBERTO;146;185;78;31
4039;Fábio;ファビオ;FÁBIO;FÁBIO;146;188;92;43
4073;Andrés Iniesta;アンドレス イニエスタ;A.INIESTA;A.INIESTA;236;171;68;39
4251;Xabi Alonso;シャビ アロンソ;ALONSO;ALONSO;236;183;80;26
4502;Deco;デコ;DECO;DECO;228;174;73;31
4522;Cristiano Ronaldo;クリスティアーノ ロナウド;RONALDO;RONALDO;228;187;84;38
4871;V. Di Cesare;ディ チェーザレ;DI CESARE;DI CESARE;215;187;75;40
4882;J. Milner;ジェームズ ミルナー;MILNER;MILNER;204;175;70;37
5226;Y. Nakashima;中島 裕希;YUKI;YUKI;13;175;76;39
5308;T. Sugeno;菅野 孝憲;SUGENO;SUGENO;13;178;75;39
5428;A. Mirante;アントニオ ミランテ;MIRANTE;MIRANTE;215;193;79;40
5518;Raúl Albiol;アルビオル;R.ALBIOL;R.ALBIOL;236;190;82;38
5584;N. Mäenpää;ニキ マエンパー;MÄENPÄÄ;MÄENPÄÄ;207;187;85;38
5778;I. Akinfeev;イーゴリ アキンフェエフ;AKINFEEV;AKINFEEV;230;186;82;37
5786;A. Arshavin;アンドレイ アルシャヴィン;ARSHAVIN;ARSHAVIN;230;172;69;30
6257;B. Waterman;;WATERMAN;WATERMAN;224;188;75;39
6259;R. Babel;ライアン バベル;BABEL;BABEL;224;185;85;37
6330;M. Fernandes;マヌエウ フェルナンデス;FERNANDES;FERNANDES;228;176;75;37
6526;L. Podolski;ルーカス ポドルスキ;PODOLSKI;PODOLSKI;210;182;80;38
7084;Felipe Melo;サンドロ テイシェイラ;FELIPE MELO;FELIPE MELO;146;183;80;40
7327;Jesús Navas;ナバス;J.NAVAS;J. NAVAS;236;172;64;38
7329;Sergio Ramos;セルヒオ ラモス;SERGIO RAMOS;RAMOS;236;184;83;37
7474;Nenê;ネネー;NENE;NENE;146;181;70;42
7511;L. Messi;リオネル メッシ;MESSI;MESSI;144;170;70;36
7814;Dante;ダンチ;DANTE;DANTE;146;188;90;40
7941;S. Carson;スコット カーソン;CARSON;CARSON;204;188;76;38
8408;A. McGeady;エイダン マクギーディ;MCGEADY;MCGEADY;214;180;72;37
8574;H. Lloris;ウーゴ ロリス;LLORIS;LLORIS;208;188;82;37
8662;B. Costil;ブノワ コスティル;COSTIL;COSTIL;208;188;86;36
8707;B. Gomis;バフェタンビ ゴミス;GOMIS;GOMIS;208;184;77;38
8823;P. Guerrero;パオロ ゲレーロ;GUERRERO;GUERRERO;151;185;79;39
8921;Rubén Castro;ルベン カストロ;RUBÉN CASTRO;RUBÉN CASTRO;236;169;68;42
8940;H. Ben Arfa;ハテム ベン アルファ;BEN ARFA;BEN ARFA;208;179;78;36
8944;K. Benzema;カリム ベンゼマ;BENZEMA;BENZEMA;208;185;81;35
8959;D. Padelli;ダニエレ パデッリ;PADELLI;PADELLI;215;191;82;38
9034;Vágner Love;ヴァグネル ラヴ;VAGNER LOVE;VAGNER LOVE;146;172;72;39
9042;K. Schmeichel;カスパー シュマイケル;SCHMEICHEL;SCHMEICHEL;203;189;89;37
9121;J. Leca;ジャン ルイ レカ;LECA;LECA;208;180;75;38
9133;Pepe;ペペ;PEPE;PEPE;228;187;81;40
9138;João Moutinho;ジョアン モウティーニョ;J. MOUTINHO;J.MOUTINHO;228;170;61;37
9167;R. Pasveer;レムコ パスフェール;PASVEER;PASVEER;224;187;87;40
9182;J. Ménez;ジェレミ メネズ;MENEZ;MENEZ;208;182;79;36
9226;Iván Cuéllar;イバン クエジャル;CUÉLLAR;CUÉLLAR;236;187;76;39
9242;Raúl García;ラウール ガルシア;RAUL GARCIA;RAUL GARCIA;236;184;83;37
9248;A. Consigli;アンドレア コンシーリ;CONSIGLI;CONSIGLI;215;189;82;36
9319;R. Ziegler;レト ツィーグラー;ZIEGLER;ZIEGLER;238;183;80;37
9375;Santi Cazorla;サンティ カソルラ;S. CAZORLA;S. CAZORLA;236;168;65;39
9534;C. Gordon;クレイグ ゴードン;GORDON;GORDON;232;193;83;41
9567;C. Bravo;クラウディオ ブラボ;C.BRAVO;C.BRAVO;147;184;80;40
10413;Yu Dabao;ユー ダバオ;YU D.B.;YU D.B.;7;185;78;35
11078;T. Aoyama;青山 敏弘;AOYAMA;AOYAMA;13;173;73;37
12379;Park Chu-young;パク チュヨン;CHUYOUNG;C Y PARK;16;182;75;38
12663;Jung Sung-ryong;チョン ソンリョン;JUNG S R;JUNG S R;16;191;91;38
15003;S. Koroki;興梠 慎三;KOROKI;KOROKI;13;175;72;37
15033;H. Iikura;飯倉 大樹;IIKURA;IIKURA;13;181;75;37
15038;Hulk;フッキ;HULK;HULK;146;180;90;37
15050;S. Okazaki;岡崎 慎司;OKAZAKI;OKAZAKI;13;175;70;37
15075;A. Ienaga;家長 昭博;IENAGA;IENAGA;13;173;70;37
15097;S. Nishikawa;西川 周作;SHUSAKU;SHUSAKU;13;183;81;37
15159;H. Jogo;城後 寿;JOGO;JOGO;13;182;77;37
15217;S. Gonda;権田 修一;GONDA;GONDA;13;187;83;34
15224;A. Tanaka;;TANAKA;TANAKA;13;167;67;36
15261;M. Morishige;森重 真人;MORISHIGE;MORISHIGE;13;183;79;36
15296;Y. Takeda;武田 洋平;TAKEDA;TAKEDA;13;190;82;36
15320;S. Kagawa;香川 真司;KAGAWA;KAGAWA;13;175;68;34
15321;T. Yamashita;山下 達也;YAMASHITA;YAMASHITA;13;182;73;36
15323;Y. Kakitani;柿谷 曜一朗;YOICHIRO;YOICHIRO;13;176;68;33
15327;Y. Rokutan;六反 勇治;ROKUTAN;ROKUTAN;13;188;80;36
15433;M. Yoshida;吉田 麻也;YOSHIDA;YOSHIDA;13;189;85;35
15527;S. Kurata;倉田 秋;KURATA;KURATA;13;172;68;35
15533;K. Shimizu;清水 圭介;SHIMIZU;SHIMIZU;13;183;75;35
15791;K. Mizunuma;水沼 宏太;KOTA;KOTA;13;176;72;33
15808;H. Sakai;酒井 宏樹;SAKAI;SAKAI;13;185;74;33
15814;Y. Nagatomo;長友 佑都;NAGATOMO;NAGATOMO;13;170;68;37
15827;H. Miyazawa;宮澤 裕樹;HIROKI;HIROKI;13;182;72;34
15871;S. Takahashi;高橋 祥平;SHOHEI;SHOHEI;13;180;73;32
15875;T. Aoki;青木 拓矢;AOKI;AOKI;13;179;77;34
15882;K. Ono;大野 和成;KAZU;KAZU;13;180;76;34
15884;M. Fitzgerald;舞行龍 ジェームズ;MICHAEL;MICHAEL;13;185;82;35
15893;H. Kiyotake;清武 弘嗣;KIYOTAKE;KIYOTAKE;13;172;66;34
15900;Y. Yoshida;吉田 豊;YUTAKA;YUTAKA;13;167;72;33
15957;T. Miyayoshi;宮吉 拓実;MIYAYOSHI;MIYAYOSHI;13;172;68;31
15958;K. Yamamura;山村 和也;YAMAMURA;YAMAMURA;13;186;80;34
15965;R. Morioka;森岡 亮太;MORIOKA;MORIOKA;13;180;70;32
15971;Kim Young-gwon;ハク ウォノク;YOUNGGWON;Y G KIM;16;186;74;33
16011;T. Kodama;児玉 剛;KODAMA;KODAMA;13;183;83;36
16020;Y. Kobayashi;小林 悠;YU;YU;13;178;72;36
16035;Y. Kashiwa;柏 好文;KASHIWA;KASHIWA;13;168;62;36
16053;N. Fujita;藤田 直之;FUJITA;FUJITA;13;175;72;36
16054;Kim Min-woo;キム ミヌ;MINWOO;M W KIM;16;174;66;33
16075;T. Okamoto;岡本 拓也;OKAMOTO;OKAMOTO;13;175;73;31
16076;T. Ugajin;宇賀神 友弥;UGAJIN;UGAJIN;13;172;71;35
16093;A. Barada;茨田 陽生;BARADA;BARADA;13;173;68;32
16094;G. Kawanami;川浪 吾郎;GORO;GORO;13;192;84;32
16095;R. Yamanaka;山中 亮輔;YAMANAKA;YAMANAKA;13;171;65;30
16100;T. Ogihara;扇原 貴宏;OGIHARA;OGIHARA;13;185;74;32
16108;Kim Bo-kyung;キム ボギョン;BOKYUNG;BOKYUNG;16;178;73;34
16114;Y. Takagi;高木 善朗;TAKAGI;TAKAGI;13;168;66;31
16171;A. Khaseif;マフディ ハミドゥラー;KHASEIF;KHASEIF;37;184;94;36
16181;H. Al Kamali;サイフ ナワフ;AL KAMALI;AL KAMALI;37;183;80;34
16182;A. Al Hosani;イブラヒム ムフタル;AL HOSANI;AL HOSANI;37;180;68;34
16286;K. Ogawa;小川 慶治朗;KEIJIRO;KEIJIRO;13;170;67;31
16303;Y. Kobayashi;小林 祐希;KOBAYASHI;KOBAYASHI;13;182;72;31
16342;H. Okuno;奥埜 博亮;OKUNO;OKUNO;13;171;68;34
16343;Y. Muto;武藤 雄樹;MUTO;MUTO;13;170;68;35
16345;G. Shoji;昌子 源;SHOJI;SHOJI;13;182;76;31
16346;G. Shibasaki;柴崎 岳;GAKU;SHIBASAKI;13;174;65;31
16348;S. Doi;土居 聖真;SHOMA;SHOMA;13;172;63;31
16361;Y. Saneto;實藤 友紀;SANE;SANE;13;179;72;34
16362;A. Fukumori;福森 晃斗;FUKUMORI;FUKUMORI;13;183;75;31
16364;R. Oshima;大島 僚太;OSHIMA;OSHIMA;13;168;64;30
16370;E. Takeda;武田 英二郎;TAKEDA;TAKEDA;13;173;71;35
16372;K. Moriya;森谷 賢太郎;MORIYA;MORIYA;13;173;65;35
16375;Y. Suzuki;鈴木 雄斗;SUZUKI;SUZUKI;13;184;76;30
16379;Y. Horigome;堀米 勇輝;HORIGOME;HORIGOME;13;168;63;31
16387;N. Sakai;酒井 宣福;NORIYOSHI;NORIYOSHI;13;179;78;31
16409;K. Sugimoto;杉本 健勇;KENYU;KENYU;13;187;79;31
16424;T. Nara;奈良 竜樹;NARA;NARA;13;180;74;30
16426;T. Arano;荒野 拓馬;TAKUMA;TAKUMA;13;180;72;30
16431;T. Shiotani;塩谷 司;SHIOTANI;SHIOTANI;13;182;80;35
16452;H. Ide;井出 遥也;HARUYA;HARUYA;13;171;66;29
16453;K. Hashimoto;橋本 拳人;KENTO;HASHIMOTO;13;183;76;30
16456;S. Arai;新井 章太;ARAI;ARAI;13;185;85;35
16472;K. Onose;小野瀬 康介;ONOSE;ONOSE;13;176;65;30
16474;W. Endo;遠藤 航;ENDO;ENDO;13;178;75;30
16477;K. Iwao;岩尾 憲;IWAO;IWAO;13;175;65;35
16491;D. Sugimoto;杉本 大地;SUGIMOTO;SUGIMOTO;13;187;83;30
16496;Y. Takahashi;高橋 祐治;Y. TAKAHASHI;Y. TAKAHASHI;13;187;80;30
16497;Jung Woo-young;チョン ウヨン;WOO YOUNG;W Y JUNG;16;186;78;34
16499;Y. Komai;駒井 善成;KOMAI;KOMAI;13;168;64;31
16500;R. Harakawa;原川 力;RIKI;RIKI;13;175;72;30
16501;Y. Kubo;久保 裕也;KUBO;KUBO;13;178;73;30
16530;H. Nakama;仲間 隼斗;NAKAMA;NAKAMA;13;170;64;31
16536;K. Matsubara;松原 健;KEN;KEN;13;180;77;30
16538;H. Tameda;為田 大貴;TAMEDA;TAMEDA;13;175;72;30
16541;N. Kamifukumoto;上福元 直人;KAMI;KAMI;13;181;76;34
16546;Jang Hyun-soo;チャン ヒョンス;J HYUN SOO;H S JANG;16;187;80;32
16555;Heberty;ヘベルチ;HEBERTY;HEBERTY;146;183;72;35
16572;Y. Maruyama;丸山 祐市;MARUYAMA;MARUYAMA;13;184;75;34
16576;Kim Jin-su;パン ユニョン;JIN SU;J S KIM;16;177;69;31
16577;M. Suzuki;鈴木 武蔵;MUSASHI;SUZUKI;13;185;74;29
16578;S. Sasaki;佐々木 翔;SASAKI;SASAKI;13;177;70;34
16583;H. Abe;阿部 浩之;ABE;ABE;13;170;68;34
16587;D. Watari;渡 大生;DAIKI;DAIKI;13;176;70;30
16595;Hwang Seok-ho;ファン ソッコ;SEOK HO;S H HWANG;16;182;80;34
16597;K. Oiwa;大岩 一貴;OIWA;OIWA;13;182;78;34
16599;Baek Sung-dong;;SUNG-DONG;S D BAEK;16;171;66;32
16625;S. Yajima;矢島 慎也;YAJIMA;YAJIMA;13;174;67;29
16644;M. Kamekawa;亀川 諒史;KAME;KAME;13;177;72;30
16650;T. Inukai;犬飼 智也;INUKAI;INUKAI;13;182;77;30
16657;S. Takagi;高木 駿;TAKAGI;TAKAGI;13;181;76;34
16680;Lee Ki-je;;KI JE;K J LEE;16;175;72;32
16715;T. Kanamori;金森 健志;KANAMORI;KANAMORI;13;171;74;29
16726;G. Notsuda;野津田 岳人;GAKUTO;GAKUTO;13;177;72;29
16728;T. Asano;浅野 拓磨;ASANO;ASANO;13;173;71;28
16731;Y. Shimada;島田 譲;YUZURU;YUZURU;13;175;74;33
16741;Lee Yong-jick;ポク ウォング;L. YONG JICK;L. YONG JICK;15;187;75;32
16763;D. Tomii;富居 大樹;TOMII;TOMII;13;182;74;34
16774;K. Nagai;永井 堅梧;NAGAI;NAGAI;13;184;80;29
16792;T. Kida;喜田 拓也;KIDA;KIDA;13;170;64;29
16799;Y. Honda;本多 勇喜;HONDA;HONDA;13;173;69;32
16800;T. Minamino;南野 拓実;MINAMINO;MINAMINO;13;174;67;28
16801;Gu Sung-yun;ヨン インソン;SUNGYUN;S Y GU;16;197;85;29
16812;K. Nakamura;中村 航輔;NAKAMURA;NAKAMURA;13;185;82;28
16815;N. Kawaguchi;川口 尚紀;KAWAGUCHI;KAWAGUCHI;13;177;72;29
16817;A. Niekawa;牲川 歩見;NIEKAWA;NIEKAWA;13;195;90;29
16822;Y. Toyokawa;豊川 雄太;TOYOKAWA;TOYOKAWA;13;171;64;29
16823;N. Ueda;植田 直通;UEDA;UEDA;13;186;77;29
16836;G. Miura;三浦 弦太;MIURA;MIURA;13;183;77;28
16851;S. Nakajima;中島 翔哉;NAKAJIMA;NAKAJIMA;13;164;64;29
16852;K. Yoshino;吉野 恭平;YOSHINO;YOSHINO;13;182;75;29
16855;N. Maeda;前田 直輝;NAOKI;NAOKI;13;176;72;29
16857;W. Popp;ポープ ウィリアム;POPP;POPP;13;192;86;29
16858;Y. Nogami;野上 結貴;NOGAMI;NOGAMI;13;180;72;32
16859;T. Shibuya;渋谷 飛翔;TSUBASA;TSUBASA;13;189;88;28
16864;H. Mita;三田 啓貴;MITA;MITA;13;173;65;33
16868;K. Fukai;深井 一希;FUKAI;FUKAI;13;179;80;28
16869;Y. Horigome;堀米 悠斗;HORIGOME;HORIGOME;13;168;67;29
16872;H. Ishige;石毛 秀樹;ISHIGE;ISHIGE;13;170;69;29
16873;T. Iwanami;岩波 拓也;IWANAMI;IWANAMI;13;186;72;29
16877;G. Ota;太田 岳志;GAKUJI;GAKUJI;13;190;86;33
17001;A. Luthe;;LUTHE;LUTHE;210;195;85;36
17002;F. Götze;;GÖTZE;GÖTZE;210;185;80;25
17004;F. Niederlechner;;NIEDERLECHNER;NIEDERLECHNER;210;186;86;33
17012;N. Sarenren Bazee;;SARENREN BAZEE;SARENREN BAZEE;210;183;70;27
17013;F. Uduokhai;;UDUOKHAI;UDUOKHAI;210;193;78;26
17015;M. Richter;シャビィ ペドレル;RICHTER;RICHTER;210;176;74;26
17016;S. Asta;;ASTA;ASTA;210;178;75;22
17020;R. Framberger;シャビィ ペドレル;FRAMBERGER;FRAMBERGER;210;179;76;28
17034;L. Klünter;;KLUNTER;KLUNTER;210;184;76;27
17038;M. Mittelstädt;シャビィ ペドレル;MITTELSTADT;MITTELSTADT;210;180;71;26
17041;A. Maier;;MAIER;MAIER;210;186;82;24
17042;P. Dárdai;;DARDAI;DARDAI;212;180;67;24
17060;J. Busk;シャビィ ペドレル;BUSK;BUSK;203;189;88;30
17061;A. Ujah;;UJAH;UJAH;80;180;81;33
17063;M. Bülter;シャビィ ペドレル;BÜLTER;BÜLTER;210;188;85;30
17067;F. Hübner;;HUBNER;HUBNER;210;193;84;32
17069;G. Prömel;シャビィ ペドレル;PRÖMEL;PRÖMEL;210;184;81;28
17072;C. Lenz;シャビィ ペドレル;LENZ;LENZ;210;180;81;29
17077;K. Schlotterbeck;シャビィ ペドレル;SCHLOTTERBECK;SCHLOTTERBECK;210;189;84;26
17084;L. Bittencourt;シャビィ ペドレル;BITTENCOURT;BITTENCOURT;210;171;62;30
17101;C. Groß;シャビィ ペドレル;GROß;GROß;210;182;74;34
17108;M. Morey;シャビィ ペドレル;MOREY BAUZÀ;MOREY BAUZÀ;236;173;69;23
17114;T. Raschl;;RASCHL;RASCHL;210;177;73;23
17127;K. Stöger;シャビィ ペドレル;STÖGER;STÖGER;194;175;72;30
17128;N. Gießelmann;;GIEßELMANN;GIEßELMANN;210;182;76;32
17164;A. Schwolow;シャビィ ペドレル;SCHWOLOW;SCHWOLOW;210;190;84;31
17167;M. Gulde;シャビィ ペドレル;GULDE;GULDE;210;184;78;32
17168;J. Schmid;;SCHMID;SCHMID;208;179;79;33
17170;L. Höler;シャビィ ペドレル;HÖLER;HÖLER;210;184;80;29
17174;L. Kübler;シャビィ ペドレル;KUBLER;KUBLER;210;182;73;31
17176;J. Haberer;シャビィ ペドレル;HABERER;HABERER;210;186;77;27
17180;D. Heintz;シャビィ ペドレル;HEINTZ;HEINTZ;210;188;89;30
17181;G. Itter;;ITTER;ITTER;210;183;82;24
17184;N. Höfler;シャビィ ペドレル;HOFLER;HOFLER;210;181;78;33
17186;V. Grifo;シャビィ ペドレル;GRIFO;GRIFO;215;180;76;30
17187;L. Tempelmann;;TEMPELMANN;TEMPELMANN;210;175;75;24
17190;N. Thiede;シャビィ ペドレル;THIEDE;THIEDE;210;186;81;24
17191;O. Baumann;シャビィ ペドレル;BAUMANN;BAUMANN;210;187;82;33
17195;D. Geiger;シャビィ ペドレル;GEIGER;GEIGER;210;173;65;25
17196;I. Bebou;シャビィ ペドレル;BEBOU;BEBOU;91;185;77;29
17197;P. Pentke;シャビィ ペドレル;PENTKE;PENTKE;210;191;84;38
17201;K. Vogt;シャビィ ペドレル;VOGT;VOGT;210;194;85;31
17203;K. Akpoguma;シャビィ ペドレル;AKPOGUMA;AKPOGUMA;80;192;85;28
