Id;Name;JapName;Shirt;ShirtNational;Commentary;Country;Country2;Height;Weight;Age;Foot;PlayingStyle;POS;GK;CB;LB;RB;DMF;CMF;LMF;RMF;AMF;LWF;RWF;SS;CF;OffensiveAwareness;BallControl;Dribbling;TightPossession;LowPass;LoftedPass;Finishing;Heading;PlaceKicking;Curl;Speed;Acceleration;KickingPower;Jump;PhysicalContact;Balance;Stamina;DefensiveAwareness;BallWinning;Aggression;GKAwareness;GKCatching;GKClearing;GKReflexes;GKReach;WeakFootUsage;WeakFootAcc;Form;InjuryResistance;Reputation;PlayingAttitude;Trickster;MazingRun;SpeedingBullet;IncisiveRun;LongBallExpert;EarlyCross;LongRanger;ScissorsFeint;DoubleTouch;FlipFlap;MarseilleTurn;Sombrero;CrossOverTurn;CutBehindAndTurn;ScotchMove;StepOnSkillcontrol;HeadingSpecial;LongRangeDrive;Chipshotcontrol;LongRangeShot;KnuckleShot;DippingShots;RisingShots;AcrobaticFinishing;HeelTrick;FirstTimeShot;OneTouchPass;ThroughPassing;WeightedPass;PinpointCrossing;OutsideCurler;Rabona;NoLookPass;LowLoftedPass;GKLowPunt;GKHighPunt;LongThrow;GKLongThrow;PenaltySpecialist;GKPenaltySaver;Gamesmanship;ManMarking;TrackBack;Interception;AcrobaticClear;Captaincy;SuperSub;FightingSpirit;Celebration1;Celebration2;DribblingHunching;DribblingArmMove.;RunningHunching;RunningArmMovement;CornerKicks;FreeKicks;PenaltyKick;DribbleMotion;YouthClub;OwnerClub;ContractUntil;LoanUntil;MarketValue;NationalCaps;Legend;Hand;WinnerGoldenBall;EditName;EditBasics;EditPosition;EditPositions;EditAbilities;EditPlayerSkills;EditPlayingStyle;EditCOMPlayingStyles;EditMovements;Edit1;Edit2;Edit3;Edit4;Edit5;Edit6;Edit7;Value1;Value2;Value3;Value2020_1;Value2020_2;Appearance;ListBoots;ListGloves;InEditFile;OverallStats
2586;Z. IBRAHIMOVIĆ;ズラタン イブラヒモヴィッチ;IBRAHIMOVIĆ;IBRAHIMOVIĆ;-1;237;198;195;95;41;False;13;12;0;0;0;0;0;0;0;0;0;0;0;1;2;85;85;75;83;75;73;82;82;76;77;66;63;87;76;87;61;64;45;45;63;40;40;40;40;40;2;2;7;1;8;3;True;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;True;False;False;False;True;False;True;True;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;123;0;3;1;1;10;6;11;3;3;0;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;20000;122;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2320;0;False;81
3222;M. STEKELENBURG;マールテン ステケレンブルフ;STEKELENBURG;STEKELENBURG;-1;224;0;197;92;40;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;56;51;52;63;59;50;59;55;49;61;57;80;84;88;61;65;56;53;52;80;73;77;77;80;1;1;5;1;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;116;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;1000;63;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1469;122;False;73
3272;W. CABALLERO;ウィリー カバジェロ;CABALLERO;CABALLERO;-1;144;236;186;80;41;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;55;52;51;60;59;50;57;55;52;66;67;75;76;77;65;58;53;52;57;78;77;82;83;79;1;1;5;2;5;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;72;0;1;1;1;1;1;1;1;1;139;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;2000;5;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2051;901;False;72
3305;M. HASEBE;;HASEBE;HASEBE;-1;13;0;179;72;37;False;8;1;0;2;0;0;2;0;0;0;0;0;0;0;0;61;78;73;74;75;75;66;68;63;68;77;78;75;76;75;74;81;72;76;77;40;40;40;40;40;3;3;5;2;2;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;8000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3151;0;False;74
3316;M. OKAMOTO;岡本 昌弘;OKAMOTO;OKAMOTO;-1;13;0;188;80;39;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;51;63;61;58;65;67;57;70;57;57;74;72;77;79;79;65;67;59;59;63;70;69;70;68;72;1;1;7;2;2;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;148;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;250;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;5039;605;False;64
3367;K. KAGA;加賀 健一;KAGA;KAGA;-1;13;0;181;75;39;False;10;1;0;2;0;1;0;0;0;0;0;0;0;0;0;56;61;63;60;65;63;58;71;56;58;73;72;68;71;73;68;67;69;66;67;40;40;40;40;40;1;1;5;1;2;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;119;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;5039;0;False;63
3707;M. BOSELLI;マウロ ボゼッリ;M. BOSELLI;M. BOSELLI;-1;144;215;180;80;37;False;1;12;0;0;0;0;0;0;0;0;0;0;0;1;2;82;79;70;74;68;64;80;87;70;68;71;68;74;79;79;70;70;48;46;53;40;40;40;40;40;2;2;5;1;5;2;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;1;0;1;1;2;10;1;1;1;1;139;0;31.12.2023. 0:00:00;1.1.0001. 0:00:00;2500;4;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2311;0;False;75
3741;JOAQUÍN;ホアキン;JOAQUÍN;JOAQUÍN;-1;236;0;179;75;41;False;14;7;0;0;0;0;1;2;2;2;2;2;2;1;1;76;85;87;86;83;86;74;66;81;87;73;67;82;60;70;79;65;54;55;60;40;40;40;40;40;1;1;5;2;6;2;False;True;False;True;False;True;True;True;True;True;False;True;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;41;0;5;9;3;4;3;1;5;1;194;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;15000;51;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2311;0;False;77
4039;FÁBIO;ファビオ;FÁBIO;FÁBIO;-1;146;0;188;92;42;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;52;63;56;55;63;67;52;65;65;50;59;70;75;79;80;61;69;61;58;67;91;83;77;82;76;1;1;5;1;6;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;True;False;True;False;False;False;False;False;True;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;6000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2311;122;False;75
4073;ANDRÉS INIESTA;アンドレス イニエスタ;A.INIESTA;A.INIESTA;-1;236;0;171;68;38;False;5;5;0;0;0;0;1;2;2;2;2;2;1;1;1;70;87;81;88;89;84;73;54;79;82;63;69;74;59;66;85;69;68;64;59;40;40;40;40;40;2;3;7;1;7;1;False;True;False;True;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;True;True;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;False;13;0;1;4;1;5;6;7;5;2;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;12000;131;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;8077;0;False;79
4522;CRISTIANO RONALDO;クリスティアーノ ロナウド;RONALDO;RONALDO;-1;228;0;187;84;37;False;1;12;0;0;0;0;0;0;2;2;1;2;2;2;2;92;86;80;85;75;75;86;89;73;78;79;78;93;95;76;68;72;45;45;54;40;40;40;40;40;2;3;5;2;8;2;False;True;True;True;False;False;True;True;False;False;False;False;True;False;False;False;True;False;False;True;True;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;True;False;True;109;0;3;4;3;4;1;8;3;3;193;0;30.6.2025. 0:00:00;1.1.0001. 0:00:00;500000;182;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2212;0;False;87
4871;V. DI CESARE;ヴァレーリオ ディ チェーザレ;DI CESARE;DI CESARE;-1;215;0;187;75;39;False;10;1;0;2;0;0;0;0;0;0;0;0;0;0;0;57;63;61;63;62;66;57;74;58;63;65;68;70;68;75;61;74;72;71;79;40;40;40;40;40;1;2;5;1;3;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;49;0;1;3;1;1;1;1;1;1;102;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;1000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1356;0;False;66
4882;J. MILNER;ジェームズ ミルナー;MILNER;MILNER;-1;204;0;175;70;36;False;7;5;0;0;2;1;1;2;2;2;1;0;0;0;0;69;77;74;81;80;83;63;63;74;76;72;66;82;72;69;71;87;69;68;85;40;40;40;40;40;1;2;5;1;6;1;False;False;False;True;True;True;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;True;False;False;False;False;True;False;False;False;True;True;True;True;False;True;62;0;1;7;1;3;5;14;3;1;104;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;20000;61;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2086;0;False;78
4949;A. MCGREGOR;アラン マグレガー;MCGREGOR;MCGREGOR;-1;232;0;183;74;40;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;62;52;57;65;67;51;59;60;57;59;64;79;73;76;60;65;58;53;69;81;77;80;84;78;1;1;7;1;4;3;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;False;True;11;0;1;1;1;1;1;1;1;1;132;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;4000;40;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;7065;501;False;72
5000;J. CORONA;ホセ コロナ;CORONA;CORONA;-1;124;0;184;84;41;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;61;53;56;62;65;50;63;60;58;60;67;76;78;75;65;59;58;60;62;79;85;77;83;79;1;1;5;1;4;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;0;0;1;1;1;1;1;1;1;1;1777;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;8000;55;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2317;605;False;73
5226;Y. NAKASHIMA;中島 裕希;YUKI;YUKI;-1;13;0;175;76;38;False;2;12;0;0;0;0;0;0;2;0;1;0;0;1;2;68;68;70;66;65;66;71;73;61;61;71;73;72;72;73;74;71;55;52;57;40;40;40;40;40;2;2;5;1;3;2;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3168;0;False;67
5236;K. YANO;矢野 貴章;KISHO;KISHO;-1;13;0;187;78;38;False;22;12;0;0;0;2;0;0;0;0;1;0;1;1;2;67;67;66;65;66;64;68;81;60;60;70;66;68;76;77;68;73;59;66;65;40;40;40;40;40;2;2;5;1;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;110;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;0;16;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3168;0;False;66
5308;T. SUGENO;菅野 孝憲;SUGENO;SUGENO;-1;13;0;179;75;38;False;16;0;2;0;0;0;0;0;0;0;0;0;0;0;0;53;68;67;62;72;72;58;68;60;62;76;79;77;83;75;70;67;59;61;66;74;70;74;73;74;1;1;7;2;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;False;False;False;True;0;0;1;1;1;1;1;1;1;1;151;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;500;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3168;605;False;67
5408;G. CLICHY;ガエル クリシ;CLICHY;CLICHY;-1;208;123;176;65;37;True;11;2;0;1;2;0;0;0;1;0;0;0;0;0;0;61;75;71;74;79;76;58;69;61;70;74;65;71;70;69;75;79;72;69;64;40;40;40;40;40;1;2;7;1;4;1;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;False;True;True;True;False;False;11;0;3;4;3;4;1;1;1;1;101;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;1000;20;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;3062;0;False;72
5428;A. MIRANTE;アントニオ ミランテ;MIRANTE;MIRANTE;-1;215;0;193;79;39;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;60;53;56;61;67;50;57;60;55;69;61;76;76;80;59;59;57;56;54;82;82;83;81;80;1;1;3;1;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;2;1;120;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;3000;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1470;601;False;75
5518;RAÚL ALBIOL;ラウール アルビオル;R. ALBIOL;R. ALBIOL;-1;236;0;190;82;37;False;9;1;0;2;0;1;1;0;0;0;0;0;0;0;0;64;74;67;64;77;78;61;81;62;66;72;67;80;82;87;73;81;88;85;85;40;40;40;40;40;1;1;7;1;6;1;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;True;10;0;1;2;2;3;1;1;1;1;110;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;30000;58;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;2262;0;False;83
5584;N. MÄENPÄÄ;ニキ マエンパー;MÄENPÄÄ;MÄENPÄÄ;-1;207;0;191;86;37;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;60;55;56;62;68;52;65;56;52;66;61;81;76;80;59;60;51;52;51;80;80;79;77;82;1;1;7;1;3;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;90;0;1;1;1;1;1;1;1;1;182;0;30.6.2023. 0:00:00;1.1.0001. 0:00:00;1000;24;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;8238;901;False;73
6257;B. WATERMAN;ボイ ワテルマン;WATERMAN;WATERMAN;-1;224;139;188;80;38;False;17;0;2;0;0;0;0;0;0;0;0;0;0;0;0;50;52;52;49;60;56;50;60;49;60;66;59;80;71;83;57;60;60;50;47;70;71;68;69;72;2;2;5;1;4;1;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;0;1;1;1;1;1;1;1;1;0;0;30.6.2024. 0:00:00;1.1.0001. 0:00:00;2000;0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;0;False;-1;0;0;0;1569;605;False;64
